transaction_id,user_id,transaction_amount,transaction_time,merchant_catrgory,location,device_type,payment_method,is_international,previous_transaction_gap,user_avg_spend,transaction_frequency,is_fraud
62,1324,230.38,2026-03-13 05:01:37.362772,Shopping,Canada,Mobile,UPI,0,55,477.7,12,0
63,1689,170.37,2026-01-27 18:04:37.362836,Travel,UK,Tablet,UPI,0,51,428.26,12,0
64,1834,343.43,2026-02-12 04:35:37.362886,Bill,Germany,Mobile,UPI,0,29,127.74,14,0
65,1897,7.95,2026-03-13 10:14:37.362931,Travel,UK,Mobile,Card,0,8,254.16,10,0
66,1601,83.29,2026-02-20 12:26:37.362974,Travel,USA,Mobile,Netbanking,0,4,377.16,18,0
67,1492,551.81,2026-03-27 04:21:37.363015,Entertainment,India,Mobile,UPI,0,21,487.03,4,0
68,1393,110.15,2026-03-07 14:29:37.363068,Travel,UK,Desktop,Netbanking,1,49,392.66,4,0
69,1977,57.54,2026-03-08 04:13:37.363123,Shopping,India,Mobile,Netbanking,0,32,443.37,17,0
70,1694,277.96,2026-02-12 21:14:37.363164,Food,India,Tablet,Netbanking,0,17,313.73,16,0
71,1728,77.15,2026-02-14 10:10:37.363204,Food,India,Mobile,Wallet,0,36,104.34,9,0
72,1914,19.15,2026-03-07 22:14:37.363246,Bill,India,Tablet,Card,1,31,480.24,19,0
73,1505,199.85,2026-01-31 01:44:37.363293,Food,Canada,Mobile,UPI,0,12,231.47,4,0
74,1564,313.64,2026-03-13 12:52:37.363340,Entertainment,USA,Desktop,Card,0,53,297.77,7,0
75,1397,159.49,2026-03-25 22:16:37.363387,Shopping,USA,Desktop,Wallet,0,29,240.37,18,0
76,1750,30.86,2026-03-16 00:19:37.363434,Food,Canada,Mobile,Card,1,17,140.45,7,0
77,1173,241.44,2026-03-05 06:43:37.363485,Entertainment,Canada,Desktop,Netbanking,0,27,382.5,5,0
78,1028,17.73,2026-03-13 16:42:37.363533,Shopping,India,Tablet,Wallet,0,45,248.26,17,0
79,1510,476.53,2026-03-31 12:00:37.363582,Bill,USA,Mobile,Wallet,0,6,383.27,19,0
80,1444,94.96,2026-03-13 19:34:37.363629,Entertainment,USA,Desktop,Card,0,26,232.1,3,0
81,1172,2.28,2026-03-25 20:49:37.363677,Bill,India,Tablet,Wallet,0,20,147.53,9,0
82,1934,274.12,2026-02-04 17:05:37.363727,Shopping,India,Desktop,Wallet,1,49,133.16,1,0
83,1933,114.66,2026-02-13 10:43:37.363776,Shopping,UK,Tablet,Card,0,32,322.4,15,0
84,1148,8.87,2026-01-26 13:28:37.363822,Shopping,USA,Tablet,Netbanking,1,37,201.2,19,0
85,1531,15.69,2026-02-10 14:38:37.363869,Shopping,Germany,Mobile,Card,0,14,217.8,1,0
86,1372,238.76,2026-02-12 14:18:37.363915,Shopping,Germany,Desktop,Wallet,1,57,466.1,10,0
87,1735,11.92,2026-01-28 14:15:37.363962,Food,USA,Mobile,Wallet,0,28,234.26,4,0
88,1089,98.29,2026-03-10 06:03:37.364010,Travel,Canada,Desktop,Card,0,37,489.76,17,0
89,1200,74.08,2026-02-20 19:21:37.364058,Travel,USA,Desktop,Wallet,0,48,165.05,14,0
90,1546,345.8,2026-03-28 10:51:37.364106,Bill,Germany,Mobile,UPI,0,5,345.37,2,0
91,1009,539.8,2026-03-15 21:31:37.364153,Travel,USA,Desktop,Netbanking,0,5,110.55,1,0
92,1373,332.73,2026-03-26 13:49:37.364199,Entertainment,Canada,Desktop,Netbanking,1,11,337.65,17,0
93,1460,13.12,2026-02-07 17:24:37.364248,Shopping,India,Mobile,Wallet,0,1,105.47,6,0
94,1475,335.22,2026-01-23 06:22:37.364297,Shopping,India,Desktop,Netbanking,0,3,322.17,5,0
95,1564,579.23,2026-03-10 01:23:37.364345,Shopping,India,Mobile,Wallet,0,21,280.22,14,0
96,1000,616.04,2026-03-20 13:04:37.364392,Entertainment,USA,Mobile,Card,0,1,368.68,2,0
97,1347,62.58,2026-03-22 08:35:37.364438,Food,Germany,Desktop,UPI,0,54,408.93,18,0
98,1267,338.98,2026-02-09 01:21:37.364487,Food,India,Mobile,Card,0,30,416.73,17,0
99,1623,130.8,2026-03-21 19:50:37.364533,Shopping,Canada,Mobile,Netbanking,0,21,355.74,11,0
100,1434,466.92,2026-02-15 03:09:37.364573,Bill,UK,Mobile,Card,0,38,343.24,18,0
101,1797,161.85,2026-02-17 10:38:37.364612,Bill,India,Desktop,Card,0,57,305.6,15,0
102,1541,194.62,2026-03-02 11:56:37.364651,Entertainment,UK,Desktop,Wallet,1,4,283.74,17,0
103,1329,293.0,2026-02-22 03:21:37.364691,Food,USA,Tablet,Wallet,0,34,348.32,2,0
104,1204,46.92,2026-03-24 01:49:37.364730,Bill,Canada,Mobile,Card,0,47,151.55,16,0
105,1094,102.27,2026-03-16 20:29:37.364769,Food,India,Desktop,Wallet,0,40,378.6,3,0
106,1863,128.48,2026-02-12 00:00:37.364808,Shopping,Germany,Desktop,Netbanking,1,58,189.54,5,0
107,1465,65.31,2026-03-06 22:56:37.364847,Bill,India,Tablet,Wallet,0,6,148.25,9,0
108,1523,46.22,2026-02-24 11:39:37.364886,Bill,UK,Desktop,UPI,0,26,376.16,9,0
109,1793,321.3,2026-03-28 18:44:37.364947,Bill,UK,Desktop,Wallet,0,56,449.43,16,0
110,1572,0.52,2026-02-15 18:33:37.364987,Travel,USA,Desktop,UPI,1,49,338.91,15,0
111,1302,92.56,2026-03-26 08:47:37.365026,Shopping,Canada,Mobile,Wallet,0,23,312.51,2,0
112,1364,12.87,2026-03-21 23:30:37.365066,Travel,Germany,Mobile,Wallet,0,7,374.87,14,0
113,1362,151.91,2026-01-29 16:55:37.365104,Entertainment,UK,Mobile,Wallet,0,15,141.95,5,0
114,1027,4.06,2026-02-25 09:16:37.365144,Travel,Germany,Mobile,Netbanking,0,26,314.13,17,0
115,1524,180.08,2026-03-27 04:03:37.365191,Shopping,USA,Tablet,Card,0,45,291.83,4,0
116,1110,266.99,2026-03-23 10:54:37.365232,Travel,Canada,Tablet,Card,0,49,325.78,10,0
117,1424,82.33,2026-02-01 15:05:37.365272,Travel,Canada,Desktop,UPI,0,34,197.74,13,0
118,1965,186.17,2026-02-19 16:28:37.365311,Food,Germany,Mobile,Netbanking,0,21,161.14,16,0
119,1515,380.52,2026-02-07 13:19:37.365351,Travel,Germany,Tablet,UPI,0,55,436.93,3,0
120,1242,3.68,2026-03-29 10:00:37.365392,Travel,Germany,Mobile,Card,1,31,458.64,11,0
121,1003,1.06,2026-04-01 08:07:37.365434,Travel,India,Mobile,UPI,0,56,389.16,2,0
122,1846,153.16,2026-02-28 02:50:37.365475,Shopping,India,Mobile,Card,1,5,174.82,4,0
123,1786,44.51,2026-02-28 18:17:37.365523,Bill,USA,Mobile,UPI,0,47,382.89,14,0
124,1319,18.27,2026-03-31 02:07:37.365565,Travel,UK,Mobile,Wallet,0,36,228.26,3,0
125,1672,92.16,2026-02-19 04:21:37.365606,Entertainment,Canada,Tablet,UPI,0,23,319.57,2,0
126,1012,230.76,2026-03-08 12:57:37.365647,Entertainment,USA,Mobile,UPI,0,37,101.08,9,0
127,1970,128.17,2026-01-23 11:35:37.365695,Bill,USA,Desktop,UPI,0,30,142.68,5,0
128,1317,274.06,2026-03-02 14:35:37.365742,Food,UK,Tablet,Wallet,0,56,496.37,2,0
129,1587,95.36,2026-03-28 15:49:37.365794,Travel,USA,Mobile,Netbanking,0,29,155.91,9,0
130,1228,45.04,2026-01-29 17:03:37.365842,Food,UK,Mobile,Card,1,37,425.83,14,0
131,1409,476.9,2026-03-20 15:00:37.365889,Bill,USA,Tablet,Wallet,1,25,373.19,8,0
132,1294,250.2,2026-03-04 20:13:37.365941,Shopping,UK,Tablet,Netbanking,0,38,315.91,15,0
133,1992,52.85,2026-03-08 19:08:37.366031,Shopping,Canada,Tablet,Card,0,2,317.42,8,0
134,1103,195.76,2026-02-13 12:58:37.366130,Travel,UK,Mobile,UPI,0,3,351.08,8,0
135,1553,30.0,2026-02-04 05:34:37.366187,Food,Germany,Mobile,Netbanking,1,33,313.38,7,0
136,1922,310.8,2026-03-24 22:15:37.366236,Food,UK,Desktop,Card,0,37,411.43,1,0
137,1253,45.77,2026-02-19 07:23:37.366283,Shopping,UK,Mobile,Wallet,0,59,401.85,6,0
138,1908,23.45,2026-02-10 11:37:37.366332,Food,India,Tablet,Netbanking,0,52,258.91,8,0
139,1260,133.25,2026-02-01 21:13:37.366377,Travel,India,Desktop,Wallet,0,2,104.88,19,0
140,1754,166.72,2026-01-22 14:27:37.366422,Shopping,USA,Tablet,Wallet,0,5,430.72,10,0
141,1871,175.12,2026-03-23 09:25:37.366467,Shopping,Canada,Mobile,UPI,0,26,478.91,12,0
142,1217,176.49,2026-03-20 08:36:37.366510,Bill,UK,Mobile,Netbanking,0,40,448.85,12,0
143,1355,502.05,2026-02-15 12:40:37.366554,Entertainment,USA,Mobile,Netbanking,1,8,360.55,17,0
144,1603,93.82,2026-02-22 02:28:37.366607,Travel,UK,Mobile,Netbanking,0,29,141.7,9,0
145,1725,483.12,2026-03-08 10:04:37.366651,Entertainment,Germany,Tablet,Netbanking,0,21,166.21,4,0
146,1181,363.4,2026-02-23 11:51:37.366696,Entertainment,UK,Mobile,Card,0,40,343.16,15,0
147,1968,272.71,2026-02-20 10:59:37.366739,Food,India,Desktop,Card,1,53,341.49,3,0
148,1574,107.06,2026-01-22 00:35:37.366783,Shopping,USA,Mobile,Netbanking,1,2,286.28,2,0
149,1346,120.38,2026-03-03 07:30:37.366827,Travel,India,Mobile,UPI,0,51,199.29,7,0
150,1179,108.58,2026-01-30 09:09:37.366870,Bill,Canada,Tablet,Wallet,0,29,332.24,18,0
151,1468,144.79,2026-02-11 11:24:37.366914,Shopping,India,Mobile,UPI,1,49,322.92,8,0
152,1560,71.22,2026-03-31 04:45:37.366960,Bill,India,Tablet,UPI,0,23,270.72,19,0
153,1317,45.92,2026-02-18 23:28:37.367003,Bill,UK,Desktop,UPI,0,29,288.83,8,0
154,1018,13.59,2026-02-15 22:07:37.367047,Travel,Germany,Desktop,Netbanking,0,50,309.76,17,0
155,1113,137.44,2026-03-14 16:42:37.367089,Shopping,Germany,Desktop,Card,0,1,233.75,7,0
156,1642,93.46,2026-01-22 02:59:37.367132,Bill,India,Mobile,Card,1,34,263.49,18,0
157,1390,215.13,2026-02-07 06:30:37.367177,Entertainment,UK,Desktop,UPI,0,23,368.76,8,0
158,1053,82.88,2026-02-12 14:48:37.367222,Food,India,Mobile,UPI,0,33,322.69,8,0
159,1417,327.27,2026-01-30 21:57:37.367266,Entertainment,Canada,Desktop,Card,0,56,422.74,16,0
160,1451,577.95,2026-01-31 01:19:37.367310,Bill,USA,Tablet,Card,0,48,134.77,10,0
161,1774,266.29,2026-02-18 09:44:37.367353,Food,India,Tablet,Card,0,19,333.22,18,0
162,1513,482.98,2026-03-16 06:48:37.367396,Shopping,USA,Mobile,Wallet,0,42,430.04,3,0
163,1470,6.97,2026-03-22 06:48:37.367438,Travel,UK,Desktop,UPI,0,30,245.1,12,0
164,1866,593.05,2026-03-20 01:53:37.367481,Travel,UK,Desktop,Wallet,0,10,326.31,14,0
165,1726,321.74,2026-02-24 08:44:37.367524,Food,USA,Desktop,Wallet,0,17,207.47,8,0
166,1961,200.74,2026-02-18 05:10:37.367566,Shopping,Canada,Mobile,Wallet,0,22,433.97,4,0
167,1665,149.18,2026-02-07 00:16:37.367609,Travel,India,Tablet,UPI,0,37,107.36,18,0
168,1127,25.06,2026-03-05 20:41:37.367652,Food,Canada,Mobile,Netbanking,0,34,321.67,6,0
169,1377,254.74,2026-02-26 13:28:37.367695,Shopping,USA,Desktop,UPI,0,21,205.47,6,0
170,1730,181.97,2026-01-24 09:21:37.367738,Food,Germany,Tablet,Wallet,0,53,170.15,13,0
171,1400,108.52,2026-01-29 05:21:37.367781,Entertainment,UK,Tablet,UPI,0,46,118.79,11,0
172,1704,17.29,2026-03-24 09:29:37.367825,Bill,USA,Tablet,UPI,0,29,255.72,8,0
173,1010,87.91,2026-01-28 01:16:37.367868,Shopping,Germany,Tablet,Wallet,0,40,326.56,2,0
174,1054,217.93,2026-03-29 01:11:37.367910,Shopping,Canada,Desktop,Netbanking,0,56,185.98,4,0
175,1750,60.83,2026-02-13 16:26:37.367962,Food,USA,Tablet,Wallet,1,17,298.55,13,0
176,1481,195.28,2026-03-31 08:40:37.368006,Bill,Canada,Mobile,Card,0,40,391.28,11,0
177,1615,114.12,2026-03-23 03:34:37.368050,Food,Canada,Tablet,Netbanking,0,50,419.77,12,0
178,1434,63.53,2026-01-29 15:55:37.368092,Travel,UK,Desktop,Netbanking,0,37,136.63,17,0
179,1956,312.14,2026-03-07 03:16:37.368135,Shopping,UK,Desktop,Wallet,0,47,134.68,16,0
180,1215,284.09,2026-03-23 21:50:37.368178,Travel,Canada,Tablet,UPI,1,23,389.64,16,0
181,1709,788.26,2026-02-21 16:43:37.368221,Entertainment,India,Tablet,UPI,0,15,377.27,9,0
182,1876,221.68,2026-03-13 00:29:37.368264,Bill,UK,Desktop,Card,0,7,499.74,7,0
183,1781,25.69,2026-03-15 16:54:37.368307,Shopping,Germany,Tablet,Card,0,48,146.11,18,0
184,1222,396.16,2026-03-14 16:54:37.368350,Travel,Germany,Tablet,Wallet,0,59,431.57,17,0
185,1525,181.4,2026-03-07 19:29:37.368392,Food,Canada,Desktop,Card,0,34,454.0,11,0
186,1935,116.33,2026-03-16 02:14:37.368436,Bill,UK,Tablet,Wallet,0,15,421.59,4,0
187,1348,216.74,2026-03-27 04:00:37.368480,Entertainment,Canada,Desktop,UPI,0,16,270.73,12,0
188,1893,108.09,2026-02-24 00:51:37.368523,Bill,Germany,Mobile,Card,1,59,449.88,13,0
189,1273,559.6,2026-02-12 06:18:37.368567,Travel,Germany,Desktop,Netbanking,0,46,240.28,17,0
190,1476,7.66,2026-02-17 05:37:37.368609,Travel,Canada,Desktop,UPI,0,56,208.67,10,0
191,1925,108.18,2026-03-30 00:54:37.368651,Bill,Germany,Mobile,Wallet,0,1,195.51,3,0
192,1428,87.58,2026-03-09 21:51:37.368704,Bill,Germany,Tablet,Netbanking,1,18,193.44,16,0
193,1704,482.34,2026-03-07 20:04:37.368747,Bill,USA,Tablet,Wallet,0,57,371.86,12,0
194,1186,598.99,2026-03-01 03:36:37.368790,Bill,Canada,Desktop,Card,0,6,492.93,14,0
195,1343,126.0,2026-03-08 08:48:37.368834,Entertainment,India,Tablet,Wallet,1,7,496.47,8,0
196,1659,363.82,2026-03-05 21:27:37.368878,Shopping,USA,Tablet,Wallet,0,45,148.14,11,0
197,1225,96.93,2026-02-02 21:08:37.368921,Bill,UK,Desktop,Wallet,0,3,430.48,5,0
198,1772,198.73,2026-02-14 09:42:37.368963,Shopping,Canada,Mobile,UPI,1,35,338.91,17,0
199,1572,60.28,2026-02-01 19:38:37.369006,Shopping,Germany,Mobile,UPI,0,17,161.56,3,0
200,1997,195.07,2026-03-09 01:04:37.369049,Bill,India,Tablet,Wallet,0,9,457.97,5,0
201,1609,122.29,2026-03-15 20:10:37.369091,Entertainment,UK,Mobile,Card,0,29,455.5,2,0
202,1331,7.21,2026-02-28 02:22:37.369135,Entertainment,USA,Mobile,Netbanking,0,5,394.09,2,0
203,1983,58.24,2026-02-12 00:55:37.369178,Food,USA,Mobile,UPI,0,5,119.51,18,0
204,1453,654.68,2026-03-25 13:01:37.369222,Entertainment,Canada,Mobile,Wallet,0,5,496.59,18,0
205,1039,428.96,2026-03-30 18:08:37.369263,Bill,Germany,Mobile,UPI,1,3,239.12,2,0
206,1039,166.82,2026-01-22 05:48:37.369305,Bill,USA,Mobile,Netbanking,1,19,447.26,1,0
207,1570,403.92,2026-02-02 08:20:37.369347,Food,India,Tablet,Card,0,45,378.99,10,0
208,1355,192.79,2026-03-30 16:55:37.369389,Entertainment,USA,Mobile,Card,0,5,452.35,19,0
209,1030,349.53,2026-03-30 12:45:37.369433,Shopping,UK,Tablet,Wallet,0,30,463.48,18,0
210,1355,162.47,2026-02-20 04:32:37.369476,Food,USA,Mobile,Card,0,39,177.25,13,0
211,1045,79.03,2026-03-08 05:32:37.369518,Food,Canada,Tablet,Wallet,0,34,353.6,13,0
212,1674,27.5,2026-02-07 11:22:37.369561,Entertainment,USA,Tablet,Netbanking,0,10,272.9,2,0
213,1830,99.57,2026-01-27 23:27:37.369604,Food,Canada,Desktop,Card,0,22,474.89,4,0
214,1241,588.62,2026-02-25 13:32:37.369646,Food,UK,Mobile,UPI,0,17,332.87,1,0
215,1021,194.0,2026-02-13 06:35:37.369690,Bill,Germany,Mobile,UPI,1,47,487.55,4,0
216,1762,27.87,2026-03-13 14:41:37.369733,Bill,USA,Desktop,Wallet,0,11,428.61,15,0
217,1078,341.61,2026-03-13 14:42:37.369774,Food,Germany,Desktop,Card,0,26,163.58,2,0
218,1284,577.57,2026-01-29 11:38:37.369816,Bill,Canada,Desktop,Wallet,0,39,310.81,11,0
219,1883,366.45,2026-02-05 16:47:37.369858,Food,India,Mobile,Netbanking,0,11,209.3,17,0
220,1381,32.75,2026-01-23 10:41:37.370097,Shopping,Germany,Tablet,UPI,0,47,267.89,6,0
221,1658,64.1,2026-03-28 12:18:37.370215,Travel,UK,Tablet,Card,0,38,191.98,3,0
222,1831,405.18,2026-02-02 23:33:37.370279,Food,India,Tablet,Netbanking,0,15,288.61,8,0
223,1059,41.04,2026-03-28 09:48:37.370335,Travel,UK,Mobile,Card,0,8,408.37,14,0
224,1561,286.28,2026-02-17 12:16:37.370390,Travel,USA,Mobile,Wallet,0,53,464.73,3,0
225,1915,318.45,2026-02-12 16:04:37.370441,Food,UK,Desktop,Wallet,0,7,150.07,12,0
226,1851,112.53,2026-02-14 23:09:37.370492,Bill,UK,Tablet,Wallet,0,22,332.79,2,0
227,1343,113.57,2026-03-11 18:05:37.370541,Travel,USA,Tablet,Wallet,0,8,285.84,18,0
228,1365,735.39,2026-03-14 06:21:37.370588,Shopping,India,Mobile,Card,0,25,444.05,6,0
229,1424,8.09,2026-03-09 12:23:37.370639,Shopping,UK,Mobile,Wallet,0,41,196.82,14,0
230,1671,3.71,2026-01-25 05:27:37.370686,Food,Canada,Tablet,UPI,0,33,323.86,18,0
231,1864,145.84,2026-03-13 09:00:37.370736,Food,USA,Desktop,Netbanking,1,30,113.28,7,0
232,1193,758.55,2026-01-23 02:11:37.370782,Shopping,India,Desktop,Netbanking,0,50,428.58,10,0
233,1886,221.97,2026-02-24 23:17:37.370834,Travel,India,Mobile,Wallet,0,3,458.49,9,0
234,1773,191.74,2026-03-14 08:29:37.370881,Food,India,Desktop,Netbanking,0,12,448.39,18,0
235,1859,323.62,2026-03-22 22:55:37.370927,Food,Germany,Desktop,UPI,0,7,364.33,16,0
236,1899,182.0,2026-02-03 12:23:37.370974,Travel,UK,Desktop,Card,0,3,116.3,10,0
237,1013,17.03,2026-02-04 05:59:37.371020,Travel,Germany,Tablet,UPI,0,12,163.82,13,0
238,1242,49.49,2026-03-18 12:22:37.371071,Entertainment,Canada,Tablet,UPI,0,45,172.85,19,0
239,1811,162.1,2026-03-21 06:02:37.371117,Food,UK,Mobile,Wallet,0,32,316.99,3,0
240,1923,44.51,2026-01-25 23:22:37.371163,Food,USA,Mobile,UPI,0,54,112.26,1,0
241,1902,124.21,2026-02-10 01:03:37.371208,Travel,India,Mobile,Netbanking,1,58,397.08,5,0
242,1515,265.87,2026-03-05 00:41:37.371254,Entertainment,Canada,Tablet,Netbanking,0,50,446.81,9,0
243,1419,5.97,2026-03-10 11:39:37.371300,Shopping,USA,Tablet,Card,0,2,339.09,4,0
244,1773,212.85,2026-03-11 23:38:37.371372,Shopping,Canada,Desktop,Wallet,0,54,243.66,3,0
245,1236,125.4,2026-02-01 11:26:37.371418,Food,UK,Mobile,UPI,0,26,386.33,16,0
246,1477,39.61,2026-02-14 13:03:37.371463,Food,UK,Desktop,Netbanking,1,55,265.21,6,0
247,1552,56.8,2026-01-24 17:05:37.371511,Entertainment,USA,Desktop,UPI,0,14,305.93,2,0
248,1742,35.71,2026-02-17 20:52:37.371558,Travel,Germany,Tablet,Wallet,1,2,443.19,5,0
249,1448,296.98,2026-02-17 19:17:37.371604,Shopping,Canada,Mobile,Wallet,0,23,281.52,11,0
250,1009,15.27,2026-02-03 08:15:37.371649,Entertainment,UK,Mobile,Wallet,0,29,234.8,9,0
251,1256,119.36,2026-02-05 04:34:37.371813,Entertainment,Germany,Tablet,Card,1,57,166.82,11,0
252,1932,88.24,2026-03-21 14:41:37.371867,Entertainment,USA,Desktop,Card,0,49,382.15,15,0
253,1718,163.35,2026-02-02 15:30:37.371913,Shopping,Germany,Tablet,Wallet,0,50,494.68,9,0
254,1510,52.57,2026-04-01 05:23:37.371958,Entertainment,UK,Desktop,UPI,0,55,189.88,5,0
255,1756,18.54,2026-03-11 16:28:37.372003,Shopping,Canada,Tablet,Netbanking,0,14,375.28,18,0
